timestamp,frame_id,fps,depth_mean,depth_min,depth_max,depth_std
1777637720434.005,10,30.00,1401.085,268,2622,457.317
1777637720494.157,12,26.45,1400.663,268,4652,457.705
1777637720852.142,24,20.52,1403.204,268,6582,457.752
1777637721207.771,36,16.09,1399.133,268,3018,458.453
1777637721789.549,56,12.49,1394.057,268,2622,454.937
1777637721875.507,59,12.11,1393.151,268,4687,457.373
1777637721964.145,62,11.71,1392.420,268,3033,455.990
1777637722024.172,64,9.83,1391.888,268,2622,456.281
1777637722264.862,72,11.53,1390.005,268,6066,458.042
1777637722927.458,94,9.02,1380.866,268,3094,459.518
1777637723077.604,99,8.49,1390.579,268,6378,462.649
1777637723107.608,100,13.28,1391.423,268,2702,464.646
1777637723287.610,106,11.36,1400.123,268,41247,570.417
1777637723437.587,111,10.24,1396.176,268,3033,468.169
1777637723497.571,113,11.88,1399.788,268,14731,468.750
1777637723557.552,115,13.06,1399.509,268,2667,466.304
1777637723617.529,117,13.98,1397.561,268,3141,467.554
1777637723647.516,118,18.73,1398.536,268,2655,467.100
1777637724037.487,131,14.68,1392.740,268,17677,493.435
1777637724067.498,132,18.41,1389.839,268,12131,480.349
1777637724187.541,136,15.88,1385.554,268,8361,477.108
1777637724517.635,147,12.68,1380.018,268,3003,468.895
1777637724547.643,148,16.54,1380.603,268,2465,469.379
1777637724787.689,156,13.47,1378.842,268,2485,472.194
1777637725027.794,164,11.09,1388.098,268,2475,471.311
1777637725419.375,168,9.41,1393.106,268,2515,472.046
1777637726905.079,182,7.91,1395.752,268,6799,474.298
1777637727018.048,183,13.21,1393.785,268,3048,472.109
1777637727362.436,186,12.70,1393.901,268,6653,471.991
1777637728197.964,193,10.72,1396.474,268,8035,475.278
1777637728493.960,198,9.68,1396.467,268,7194,476.471
1777637728702.398,201,9.96,1395.785,268,3048,471.580
1777637729055.913,206,9.17,1396.025,268,2495,469.699
1777637729563.681,213,8.07,1396.314,268,6653,473.572
1777637729935.549,218,7.76,1399.462,268,3173,467.762
1777637730162.341,221,8.59,1399.721,268,2515,467.782
1777637730238.550,222,14.75,1401.651,268,3639,467.435
1777637731170.526,237,11.61,1402.745,268,2505,465.734
1777637731442.548,242,10.38,1403.848,268,6445,471.472
1777637731497.161,243,17.51,1402.631,268,7194,472.546
1777637731551.844,244,20.46,1403.553,268,9099,478.707
1777637731606.596,245,23.87,1401.734,268,10667,479.983
1777637731716.310,247,22.32,1400.127,268,7279,470.947
1777637731826.303,249,20.84,1400.314,268,6445,471.546
