timestamp,frame_id,fps,depth_mean,depth_min,depth_max,depth_std
1777638300339.636,10,30.00,1394.314,268,4516,458.316
1777638300399.902,12,26.80,1393.754,268,3344,459.163
1777638300430.121,13,32.18,1393.457,268,2622,459.999
1777638300460.259,14,31.17,1393.510,268,3125,459.466
1777638300490.316,15,32.85,1393.146,268,2644,459.111
1777638300550.418,17,28.71,1392.885,268,4990,460.681
1777638300640.264,20,24.25,1394.739,268,2655,459.276
1777638301582.197,52,18.45,1397.209,268,3206,458.088
1777638301696.985,56,15.88,1397.089,268,7366,460.149
1777638302200.196,73,12.40,1388.284,268,3239,458.451
1777638302380.460,79,10.66,1384.416,268,2644,458.376
1777638302530.659,84,9.70,1383.962,268,2714,458.090
1777638303011.198,100,7.80,1373.962,268,2812,459.529
1777638303041.183,101,11.49,1372.986,268,7932,460.663
1777638303310.960,110,9.59,1366.479,268,2600,458.900
1777638304120.465,137,7.50,1363.594,268,7638,461.952
1777638304150.519,138,14.87,1365.573,268,2546,458.810
1777638304270.741,142,13.23,1372.453,268,6952,462.812
1777638304300.797,143,16.92,1372.429,268,2536,463.615
1777638304390.968,146,15.60,1377.627,268,2505,463.174
1777638304451.082,148,15.90,1381.504,268,3705,466.086
1777638304811.793,160,12.61,1395.173,268,6653,470.589
1777638304871.915,162,13.48,1392.633,268,4759,472.432
1777638305441.692,181,10.55,1395.812,268,2655,475.613
1777638305561.575,185,10.00,1395.010,268,3222,477.542
1777638305711.410,190,9.10,1394.519,268,7194,476.817
1777638305831.265,194,8.96,1394.237,268,7832,476.807
1777638306071.473,202,7.75,1394.187,268,7194,483.710
1777638306311.845,210,6.83,1394.935,268,3003,475.664
1777638306432.037,214,7.43,1395.829,268,6653,477.579
1777638306462.086,215,13.47,1394.784,268,3326,476.412
1777638306642.382,221,11.44,1394.326,268,5782,477.182
1777638306672.432,222,17.85,1394.206,268,6952,477.116
1777638306792.635,226,15.58,1394.161,268,3094,475.815
1777638306852.738,228,15.90,1394.231,268,2578,475.474
1777638306942.852,231,14.38,1394.994,268,3222,475.692
1777638307002.914,233,15.53,1395.163,268,2878,476.263
1777638307332.738,244,12.41,1395.011,268,2812,474.637
1777638307722.456,257,9.95,1392.996,268,2600,476.516
1777638307752.431,258,15.64,1392.972,268,6952,478.357
1777638307872.327,262,12.86,1394.563,268,2667,475.805
