record_id,session_name,group,speed_setting,penetration_depth,entry_angle,scooped_mass,speed_setting_source,speed_proxy_joint_activity,speed_proxy_tcp_linear_activity,speed_proxy_tcp_angular_activity
real_001,2026-05-01_19-57-41,1.0,0.2,20.0,20.0,305.701206,derived_proxy_from_Act_qd_and_TCP_velocity,0.149814,0.053991,0.095483
real_002,2026-05-01_20-03-37,2.0,0.867933,20.0,20.0,80.023529,derived_proxy_from_Act_qd_and_TCP_velocity,0.428642,0.153539,0.272271
real_003,2026-05-01_20-10-53,3.0,0.313489,30.0,40.0,43.257751,derived_proxy_from_Act_qd_and_TCP_velocity,0.206841,0.062474,0.104127
real_004,2026-05-01_20-13-52,4.0,0.578414,30.0,40.0,75.119097,derived_proxy_from_Act_qd_and_TCP_velocity,0.321766,0.098173,0.161682
real_005,2026-05-01_20-15-19,5.0,1.0,40.0,60.0,541.262902,derived_proxy_from_Act_qd_and_TCP_velocity,0.502639,0.156741,0.25338
real_006,2026-05-01_20-22-32,6.0,0.295221,40.0,60.0,63.4809,derived_proxy_from_Act_qd_and_TCP_velocity,0.193759,0.064518,0.126785
real_007,2026-05-01_20-23-41,7.0,0.5947,40.0,60.0,77.116749,derived_proxy_from_Act_qd_and_TCP_velocity,0.320483,0.107661,0.209543
real_008,2026-05-01_20-24-59,8.0,0.877729,40.0,60.0,162.178619,derived_proxy_from_Act_qd_and_TCP_velocity,0.437492,0.15084,0.28699
aug_001,synthetic_session_001,,0.265983,25.19763,30.309857,350.111378,response_surface_augmented_design_variable,,,
aug_002,synthetic_session_002,,0.912406,25.344523,41.863902,244.311046,response_surface_augmented_design_variable,,,
aug_003,synthetic_session_003,,0.990949,20.610808,48.497861,104.750486,response_surface_augmented_design_variable,,,
aug_004,synthetic_session_004,,0.563419,20.92705,25.074057,374.86932,response_surface_augmented_design_variable,,,
aug_005,synthetic_session_005,,0.537419,34.472221,38.603446,420.657491,response_surface_augmented_design_variable,,,
aug_006,synthetic_session_006,,0.712993,39.912325,21.456422,266.811288,response_surface_augmented_design_variable,,,
aug_007,synthetic_session_007,,0.775734,30.050387,50.59683,336.600024,response_surface_augmented_design_variable,,,
aug_008,synthetic_session_008,,0.809932,21.909424,40.814098,310.081871,response_surface_augmented_design_variable,,,
aug_009,synthetic_session_009,,0.954783,22.400481,59.117465,71.340146,response_surface_augmented_design_variable,,,
aug_010,synthetic_session_010,,0.7945,37.30727,35.934178,378.237497,response_surface_augmented_design_variable,,,
aug_011,synthetic_session_011,,0.436573,23.987144,57.840132,283.815116,response_surface_augmented_design_variable,,,
