experiment_id,speed_setting,penetration_depth,entry_angle,measured_scooped_mass,measured_energy,measured_torque_mean,measured_torque_peak,notes
FUTURE_001,0.4,25.0,30.0,,,,,future_real_experiment_candidate
FUTURE_002,0.4,25.0,32.5,,,,,future_real_experiment_candidate
FUTURE_003,0.4,25.0,35.0,,,,,future_real_experiment_candidate
FUTURE_004,0.4,25.0,37.5,,,,,future_real_experiment_candidate
FUTURE_005,0.4,25.0,40.0,,,,,future_real_experiment_candidate
FUTURE_006,0.4,30.0,30.0,,,,,future_real_experiment_candidate
FUTURE_007,0.4,30.0,32.5,,,,,future_real_experiment_candidate
FUTURE_008,0.4,30.0,35.0,,,,,future_real_experiment_candidate
FUTURE_009,0.4,30.0,37.5,,,,,future_real_experiment_candidate
FUTURE_010,0.4,30.0,40.0,,,,,future_real_experiment_candidate
FUTURE_011,0.4,35.0,30.0,,,,,future_real_experiment_candidate
FUTURE_012,0.4,35.0,32.5,,,,,future_real_experiment_candidate
FUTURE_013,0.4,35.0,35.0,,,,,future_real_experiment_candidate
FUTURE_014,0.4,35.0,37.5,,,,,future_real_experiment_candidate
FUTURE_015,0.4,35.0,40.0,,,,,future_real_experiment_candidate
FUTURE_016,0.55,25.0,30.0,,,,,future_real_experiment_candidate
FUTURE_017,0.55,25.0,32.5,,,,,future_real_experiment_candidate
FUTURE_018,0.55,25.0,35.0,,,,,future_real_experiment_candidate
FUTURE_019,0.55,25.0,37.5,,,,,future_real_experiment_candidate
FUTURE_020,0.55,25.0,40.0,,,,,future_real_experiment_candidate
FUTURE_021,0.55,30.0,30.0,,,,,future_real_experiment_candidate
FUTURE_022,0.55,30.0,32.5,,,,,future_real_experiment_candidate
FUTURE_023,0.55,30.0,35.0,,,,,future_real_experiment_candidate
FUTURE_024,0.55,30.0,37.5,,,,,future_real_experiment_candidate
FUTURE_025,0.55,30.0,40.0,,,,,future_real_experiment_candidate
FUTURE_026,0.55,35.0,30.0,,,,,future_real_experiment_candidate
FUTURE_027,0.55,35.0,32.5,,,,,future_real_experiment_candidate
FUTURE_028,0.55,35.0,35.0,,,,,future_real_experiment_candidate
FUTURE_029,0.55,35.0,37.5,,,,,future_real_experiment_candidate
FUTURE_030,0.55,35.0,40.0,,,,,future_real_experiment_candidate
FUTURE_031,0.7,25.0,30.0,,,,,future_real_experiment_candidate
FUTURE_032,0.7,25.0,32.5,,,,,future_real_experiment_candidate
FUTURE_033,0.7,25.0,35.0,,,,,future_real_experiment_candidate
FUTURE_034,0.7,25.0,37.5,,,,,future_real_experiment_candidate
FUTURE_035,0.7,25.0,40.0,,,,,future_real_experiment_candidate
FUTURE_036,0.7,30.0,30.0,,,,,future_real_experiment_candidate
FUTURE_037,0.7,30.0,32.5,,,,,future_real_experiment_candidate
FUTURE_038,0.7,30.0,35.0,,,,,future_real_experiment_candidate
FUTURE_039,0.7,30.0,37.5,,,,,future_real_experiment_candidate
FUTURE_040,0.7,30.0,40.0,,,,,future_real_experiment_candidate
FUTURE_041,0.7,35.0,30.0,,,,,future_real_experiment_candidate
FUTURE_042,0.7,35.0,32.5,,,,,future_real_experiment_candidate
FUTURE_043,0.7,35.0,35.0,,,,,future_real_experiment_candidate
FUTURE_044,0.7,35.0,37.5,,,,,future_real_experiment_candidate
FUTURE_045,0.7,35.0,40.0,,,,,future_real_experiment_candidate
FUTURE_046,0.55,30.0,35.0,,,,,center_point_repeat
FUTURE_047,0.55,30.0,35.0,,,,,center_point_repeat
FUTURE_048,0.55,30.0,35.0,,,,,center_point_repeat
