session_name,group,penetration_depth,entry_angle,speed_setting,speed_setting_source,speed_proxy_joint_activity,speed_proxy_tcp_linear_activity,speed_proxy_tcp_angular_activity,scooped_mass,data_source,is_synthetic
2026-05-01_19-57-41,1.0,20.0,20.0,0.2,derived_proxy_from_Act_qd_and_TCP_velocity,0.149814,0.053991,0.095483,305.701206,real_experiment,0
2026-05-01_20-03-37,2.0,20.0,20.0,0.867933,derived_proxy_from_Act_qd_and_TCP_velocity,0.428642,0.153539,0.272271,80.023529,real_experiment,0
2026-05-01_20-10-53,3.0,30.0,40.0,0.313489,derived_proxy_from_Act_qd_and_TCP_velocity,0.206841,0.062474,0.104127,43.257751,real_experiment,0
2026-05-01_20-13-52,4.0,30.0,40.0,0.578414,derived_proxy_from_Act_qd_and_TCP_velocity,0.321766,0.098173,0.161682,75.119097,real_experiment,0
2026-05-01_20-15-19,5.0,40.0,60.0,1.0,derived_proxy_from_Act_qd_and_TCP_velocity,0.502639,0.156741,0.25338,541.262902,real_experiment,0
2026-05-01_20-22-32,6.0,40.0,60.0,0.295221,derived_proxy_from_Act_qd_and_TCP_velocity,0.193759,0.064518,0.126785,63.4809,real_experiment,0
2026-05-01_20-23-41,7.0,40.0,60.0,0.5947,derived_proxy_from_Act_qd_and_TCP_velocity,0.320483,0.107661,0.209543,77.116749,real_experiment,0
2026-05-01_20-24-59,8.0,40.0,60.0,0.877729,derived_proxy_from_Act_qd_and_TCP_velocity,0.437492,0.15084,0.28699,162.178619,real_experiment,0
synthetic_001,,25.19763,30.309857,0.265983,synthetic_design_variable,,,,327.72943,synthetic,1
synthetic_002,,25.344523,41.863902,0.912406,synthetic_design_variable,,,,270.65779,synthetic,1
synthetic_003,,20.610808,48.497861,0.990949,synthetic_design_variable,,,,123.964444,synthetic,1
synthetic_004,,20.92705,25.074057,0.563419,synthetic_design_variable,,,,319.559289,synthetic,1
synthetic_005,,34.472221,38.603446,0.537419,synthetic_design_variable,,,,411.292368,synthetic,1
synthetic_006,,39.912325,21.456422,0.712993,synthetic_design_variable,,,,260.12386,synthetic,1
synthetic_007,,30.050387,50.59683,0.775734,synthetic_design_variable,,,,381.179994,synthetic,1
synthetic_008,,21.909424,40.814098,0.809932,synthetic_design_variable,,,,267.333073,synthetic,1
synthetic_009,,22.400481,59.117465,0.954783,synthetic_design_variable,,,,75.280708,synthetic,1
synthetic_010,,37.30727,35.934178,0.7945,synthetic_design_variable,,,,342.124422,synthetic,1
synthetic_011,,23.987144,57.840132,0.436573,synthetic_design_variable,,,,276.765667,synthetic,1
synthetic_012,,27.591616,42.490915,0.466554,synthetic_design_variable,,,,427.11366,synthetic,1
synthetic_013,,37.391383,52.607587,0.584505,synthetic_design_variable,,,,321.750103,synthetic,1
synthetic_014,,21.319343,43.215162,0.835036,synthetic_design_variable,,,,232.594952,synthetic,1
synthetic_015,,30.766413,43.612733,0.376929,synthetic_design_variable,,,,420.486064,synthetic,1
synthetic_016,,24.327191,37.389631,0.361703,synthetic_design_variable,,,,415.118557,synthetic,1
synthetic_017,,31.62661,55.254907,0.32461,synthetic_design_variable,,,,275.474705,synthetic,1
synthetic_018,,26.030186,27.804561,0.729889,synthetic_design_variable,,,,363.994593,synthetic,1
synthetic_019,,29.672047,32.592102,0.335233,synthetic_design_variable,,,,415.82625,synthetic,1
synthetic_020,,27.115428,26.252133,0.416455,synthetic_design_variable,,,,423.016073,synthetic,1
synthetic_021,,38.093542,57.182274,0.592414,synthetic_design_variable,,,,261.320477,synthetic,1
synthetic_022,,23.005922,51.076429,0.282876,synthetic_design_variable,,,,269.640793,synthetic,1
synthetic_023,,36.268032,30.732659,0.228841,synthetic_design_variable,,,,279.736124,synthetic,1
synthetic_024,,28.447886,39.226664,0.470139,synthetic_design_variable,,,,454.4397,synthetic,1
synthetic_025,,20.16787,59.963204,0.889387,synthetic_design_variable,,,,36.795969,synthetic,1
synthetic_026,,36.745918,47.578595,0.490419,synthetic_design_variable,,,,355.429946,synthetic,1
synthetic_027,,25.90534,20.842397,0.929396,synthetic_design_variable,,,,207.279368,synthetic,1
synthetic_028,,22.974828,45.137845,0.547992,synthetic_design_variable,,,,382.624149,synthetic,1
synthetic_029,,33.26345,54.080445,0.451907,synthetic_design_variable,,,,326.464263,synthetic,1
synthetic_030,,32.74969,24.45696,0.355829,synthetic_design_variable,,,,409.348295,synthetic,1
synthetic_031,,32.351675,36.159299,0.387115,synthetic_design_variable,,,,415.425654,synthetic,1
synthetic_032,,24.966268,47.283907,0.500113,synthetic_design_variable,,,,378.260546,synthetic,1
synthetic_033,,35.551117,34.369444,0.762987,synthetic_design_variable,,,,388.033299,synthetic,1
synthetic_034,,35.197989,31.741811,0.873661,synthetic_design_variable,,,,335.376255,synthetic,1
synthetic_035,,26.618577,55.882348,0.743024,synthetic_design_variable,,,,296.734671,synthetic,1
synthetic_036,,36.621744,20.658995,0.279135,synthetic_design_variable,,,,252.600234,synthetic,1
synthetic_037,,34.720726,45.512318,0.600494,synthetic_design_variable,,,,363.193748,synthetic,1
synthetic_038,,38.945779,40.444509,0.657182,synthetic_design_variable,,,,399.793118,synthetic,1
synthetic_039,,28.283211,27.2313,0.98207,synthetic_design_variable,,,,202.064018,synthetic,1
synthetic_040,,26.73212,53.307691,0.522063,synthetic_design_variable,,,,368.4459,synthetic,1
synthetic_041,,29.266513,23.741514,0.900115,synthetic_design_variable,,,,250.542456,synthetic,1
synthetic_042,,31.766901,32.990384,0.413097,synthetic_design_variable,,,,367.287106,synthetic,1
synthetic_043,,27.751836,28.889127,0.225165,synthetic_design_variable,,,,356.863636,synthetic,1
synthetic_044,,29.583491,49.267694,0.840349,synthetic_design_variable,,,,303.856919,synthetic,1
synthetic_045,,33.88553,46.373769,0.633983,synthetic_design_variable,,,,375.417981,synthetic,1
synthetic_046,,24.454064,51.838267,0.966064,synthetic_design_variable,,,,154.020797,synthetic,1
synthetic_047,,32.060385,35.113495,0.941925,synthetic_design_variable,,,,296.876458,synthetic,1
synthetic_048,,28.880416,22.477589,0.679336,synthetic_design_variable,,,,387.227652,synthetic,1
synthetic_049,,22.026017,22.754433,0.818202,synthetic_design_variable,,,,246.087204,synthetic,1
synthetic_050,,39.550221,25.415794,0.68596,synthetic_design_variable,,,,300.057398,synthetic,1
synthetic_051,,31.009669,56.498364,0.310194,synthetic_design_variable,,,,252.477113,synthetic,1
synthetic_052,,35.702721,49.649636,0.243514,synthetic_design_variable,,,,237.273616,synthetic,1
synthetic_053,,23.380937,28.022058,0.20529,synthetic_design_variable,,,,344.96968,synthetic,1
synthetic_054,,21.618794,44.231281,0.759709,synthetic_design_variable,,,,260.734724,synthetic,1
synthetic_055,,39.216499,58.114549,0.613763,synthetic_design_variable,,,,215.582222,synthetic,1
synthetic_056,,33.664555,53.743465,0.855977,synthetic_design_variable,,,,297.045154,synthetic,1
synthetic_057,,30.39566,29.432119,0.29954,synthetic_design_variable,,,,376.991759,synthetic,1
synthetic_058,,34.081462,39.764842,0.512224,synthetic_design_variable,,,,426.013906,synthetic,1
synthetic_059,,38.521119,37.320975,0.653019,synthetic_design_variable,,,,367.149398,synthetic,1
synthetic_060,,37.852186,33.914927,0.694198,synthetic_design_variable,,,,363.09455,synthetic,1
synthetic_061,,40.0,57.231047,0.46189,synthetic_design_variable,,,,165.562059,synthetic,1
synthetic_062,,23.930993,20.0,0.91506,synthetic_design_variable,,,,230.909236,synthetic,1
synthetic_063,,40.0,60.0,1.0,synthetic_design_variable,,,,98.108691,synthetic,1
synthetic_064,,31.297696,39.56612,0.530676,synthetic_design_variable,,,,407.446219,synthetic,1
synthetic_065,,20.0,23.780516,0.305624,synthetic_design_variable,,,,285.006591,synthetic,1
synthetic_066,,20.0,20.0,0.2,synthetic_design_variable,,,,222.692878,synthetic,1
synthetic_067,,40.0,58.871484,0.958237,synthetic_design_variable,,,,127.367638,synthetic,1
synthetic_068,,31.108998,45.577539,0.5066,synthetic_design_variable,,,,477.735078,synthetic,1
synthetic_069,,40.0,60.0,0.859596,synthetic_design_variable,,,,151.385062,synthetic,1
synthetic_070,,40.0,60.0,0.841262,synthetic_design_variable,,,,140.828464,synthetic,1
synthetic_071,,40.0,60.0,0.344844,synthetic_design_variable,,,,133.971545,synthetic,1
synthetic_072,,23.089336,20.0,0.2,synthetic_design_variable,,,,258.609486,synthetic,1
synthetic_073,,38.433339,56.392301,0.83142,synthetic_design_variable,,,,242.018043,synthetic,1
synthetic_074,,28.408332,46.365852,0.389215,synthetic_design_variable,,,,373.151179,synthetic,1
synthetic_075,,39.991747,52.645607,0.990555,synthetic_design_variable,,,,151.614843,synthetic,1
synthetic_076,,20.391183,20.0,0.2,synthetic_design_variable,,,,231.662539,synthetic,1
synthetic_077,,29.240277,37.73546,0.287942,synthetic_design_variable,,,,397.232822,synthetic,1
synthetic_078,,37.549985,53.59806,0.272505,synthetic_design_variable,,,,206.459254,synthetic,1
synthetic_079,,40.0,60.0,0.816265,synthetic_design_variable,,,,176.150256,synthetic,1
synthetic_080,,27.844255,48.815116,0.655533,synthetic_design_variable,,,,399.550014,synthetic,1
synthetic_081,,39.227465,60.0,0.951642,synthetic_design_variable,,,,144.94173,synthetic,1
synthetic_082,,38.458758,60.0,1.0,synthetic_design_variable,,,,133.456113,synthetic,1
synthetic_083,,27.25157,37.551545,0.595294,synthetic_design_variable,,,,452.643284,synthetic,1
synthetic_084,,40.0,60.0,0.8402,synthetic_design_variable,,,,170.90287,synthetic,1
synthetic_085,,29.707731,39.856143,0.287603,synthetic_design_variable,,,,348.241566,synthetic,1
synthetic_086,,20.0,25.356047,0.244171,synthetic_design_variable,,,,285.3689,synthetic,1
synthetic_087,,39.300592,60.0,0.825252,synthetic_design_variable,,,,198.911491,synthetic,1
synthetic_088,,40.0,52.493995,0.80822,synthetic_design_variable,,,,274.973243,synthetic,1
synthetic_089,,20.0,20.0,0.269004,synthetic_design_variable,,,,259.914782,synthetic,1
synthetic_090,,24.059049,20.0,0.853919,synthetic_design_variable,,,,220.292464,synthetic,1
synthetic_091,,20.0,25.980728,0.973258,synthetic_design_variable,,,,135.98832,synthetic,1
synthetic_092,,40.0,52.978853,0.325448,synthetic_design_variable,,,,179.704526,synthetic,1
synthetic_093,,37.774832,57.739631,0.840839,synthetic_design_variable,,,,238.618617,synthetic,1
synthetic_094,,40.0,57.713313,1.0,synthetic_design_variable,,,,100.24835,synthetic,1
synthetic_095,,39.491662,57.041667,1.0,synthetic_design_variable,,,,159.973515,synthetic,1
synthetic_096,,31.320074,39.414335,0.427436,synthetic_design_variable,,,,435.549242,synthetic,1
synthetic_097,,27.195568,36.238111,0.542853,synthetic_design_variable,,,,425.272577,synthetic,1
