term,term_type,coefficient,p_value,ci_low,ci_high,abs_standardized_effect
const,intercept,-601.5995059664923,0.0018999376909344576,-975.1177521489876,-228.08125978399693,
speed_setting,linear,142.8442596251433,0.5125132841130609,-288.74308552258816,574.4316047728748,36.64194351028484
penetration_depth,linear,48.871325414446964,0.0021158307330387564,18.19548770069483,79.5471631281991,334.43373094853246
entry_angle,linear,13.540023626568347,0.025005424914865685,1.7390053119690787,25.341041941167617,182.74329070325578
speed_setting^2,quadratic,-664.1283916142052,0.0001367566340634879,-995.2053086693415,-333.0514745590687,207.08312125341877
speed_setting penetration_depth,interaction,15.153817594367165,0.006290116068452476,4.3938755975322685,25.913759591202062,143.85086591911227
speed_setting entry_angle,interaction,3.953777269452062,0.15708076535157423,-1.5512312657530813,9.458785804657206,60.84650486998829
penetration_depth^2,quadratic,-0.9343285733654549,0.0005294636191656126,-1.450687383710089,-0.4179697630208208,389.45200032895167
penetration_depth entry_angle,interaction,-0.008592794709119028,0.9318825979746335,-0.2077515299523667,0.19056594053412865,5.319034423019206
entry_angle^2,quadratic,-0.2271480658741664,0.001212170207989921,-0.36217062032333747,-0.09212551142499528,252.43172029485697
