timestamp,frame_id,fps,depth_mean,depth_min,depth_max,depth_std
1777640798807.094,1,30.00,1503.741,270,5030,388.230
1777640798868.724,3,26.66,1486.985,268,2655,416.353
1777640799411.955,21,20.46,1487.346,268,2644,415.962
1777640799679.790,30,16.25,1487.462,269,2667,417.319
1777640800062.650,43,12.83,1486.700,269,2644,417.337
1777640800120.880,45,13.30,1488.663,268,2644,415.845
1777640800294.467,51,11.47,1487.493,269,2655,416.867
1777640800380.641,54,11.38,1487.796,268,2622,417.368
1777640800409.274,55,14.79,1487.716,268,2678,416.590
1777640800494.899,58,14.12,1487.798,269,2655,416.647
1777640800551.753,60,14.74,1487.391,268,2644,416.928
1777640800940.631,73,11.70,1487.335,269,2633,416.638
1777640801060.652,77,10.80,1488.304,269,2655,416.601
1777640801150.648,80,10.88,1488.564,269,2655,415.992
1777640801300.600,85,9.70,1487.501,268,2678,417.255
1777640801690.525,98,7.92,1488.283,268,2644,417.355
1777640802020.511,109,6.72,1487.697,268,2655,417.955
1777640802050.496,110,12.88,1487.635,268,2667,417.829
1777640802170.422,114,10.93,1488.616,268,2667,417.136
1777640802320.295,119,11.73,1488.325,269,2633,417.007
1777640802380.234,121,12.55,1488.171,269,2644,417.030
1777640802500.094,125,11.53,1488.284,268,2678,416.784
1777640802530.055,126,18.86,1487.995,268,2678,417.817
1777640802560.015,127,21.28,1488.447,269,2622,417.879
1777640802740.023,133,17.33,1488.213,268,2622,416.702
1777640802859.976,137,15.08,1488.407,269,2667,417.580
1777640802979.917,141,13.46,1488.134,268,2622,418.139
1777640803069.864,144,12.83,1489.678,268,2644,416.781
1777640803609.393,162,10.08,1487.993,268,2667,417.265
1777640803639.414,163,16.26,1487.849,269,2644,418.867
1777640803849.507,170,13.40,1488.120,268,2633,418.028
1777640804239.626,183,10.69,1489.731,269,2667,417.928
1777640804269.634,184,16.88,1488.560,268,2690,417.733
1777640804599.719,195,13.40,1488.763,269,2644,418.627
1777640804689.777,198,13.04,1489.000,269,2622,417.823
1777640804869.809,204,11.19,1489.380,268,2633,417.970
