timestamp,frame_id,fps,depth_mean,depth_min,depth_max,depth_std
1777642396611.881,3,30.00,1473.725,268,2644,417.192
1777642397349.545,15,23.07,1473.545,268,2678,418.122
1777642397379.441,16,25.57,1473.659,268,2667,416.834
1777642397439.242,18,23.40,1473.849,268,2644,417.265
1777642397498.750,20,21.72,1473.345,268,2655,417.654
1777642397528.394,21,24.72,1474.078,268,2667,416.344
1777642397706.674,27,19.91,1474.186,268,2655,417.481
1777642397914.260,34,16.13,1474.336,268,2644,417.596
1777642397943.817,35,19.88,1473.611,268,2667,417.334
1777642398237.057,45,15.75,1474.382,268,2667,417.358
1777642398697.446,61,12.33,1474.958,268,2655,417.729
1777642398757.621,63,13.40,1474.509,269,2644,417.772
1777642398787.709,64,18.06,1474.178,268,2655,417.916
1777642398817.728,65,21.26,1474.619,268,2644,417.835
1777642399477.592,87,16.32,1475.216,268,2655,417.320
1777642399597.452,91,14.32,1475.251,268,2678,417.750
1777642399627.412,92,18.49,1474.782,268,2678,417.775
1777642399717.380,95,16.68,1475.433,268,2644,416.927
1777642400017.353,105,13.36,1474.044,268,2678,418.598
1777642400227.148,112,11.21,1474.281,268,2667,418.321
1777642400287.075,114,12.37,1475.304,268,2655,417.827
1777642400376.952,117,12.08,1475.242,268,2678,417.753
1777642400616.554,125,10.08,1474.790,268,2667,418.258
1777642401127.280,142,8.06,1475.434,268,2667,417.967
1777642401277.613,147,7.66,1474.913,268,2678,417.838
1777642401367.818,150,8.60,1475.607,268,2678,417.868
1777642401458.028,153,9.12,1475.313,268,2667,418.716
1777642401788.681,164,7.61,1475.297,268,2678,418.545
1777642401938.688,169,7.32,1475.520,268,2678,418.073
1777642402118.680,175,6.92,1476.074,268,2655,418.469
1777642402358.642,183,6.19,1475.728,268,2667,417.929
1777642402538.593,189,6.11,1475.703,268,2678,418.883
1777642402658.550,193,6.43,1476.015,268,2678,418.222
1777642402898.666,201,5.92,1476.068,268,2678,417.694
1777642403258.760,213,5.14,1476.411,268,2678,416.900
1777642403318.772,215,8.09,1476.190,268,2667,418.395
1777642403408.789,218,7.03,1476.498,268,2667,418.081
1777642403588.816,224,11.95,1475.818,268,2667,417.644
1777642403618.820,225,15.03,1475.503,268,2667,419.011
1777642404189.229,244,11.74,1476.219,268,2667,418.003
1777642404249.274,246,13.34,1476.188,268,2690,418.432
1777642404939.711,269,10.37,1476.329,268,2702,418.171
1777642404969.717,270,15.98,1475.729,268,2667,418.360
1777642405029.727,272,16.18,1476.053,268,2678,418.584
1777642405059.732,273,18.66,1475.752,268,2714,418.371
1777642405149.745,276,17.05,1476.059,268,2702,419.316
1777642405179.749,277,21.05,1476.972,268,2667,418.006
1777642405209.753,278,23.26,1476.083,268,2678,418.834
1777642405779.858,297,17.89,1476.395,268,2667,418.462
1777642405809.881,298,20.30,1475.853,268,2644,419.131
1777642406740.159,329,15.50,1475.627,268,2690,419.523
1777642406770.180,330,19.97,1476.581,268,2678,418.927
1777642406800.201,331,21.32,1475.824,268,2690,419.294
1777642406890.421,334,19.01,1476.169,268,2644,418.095
1777642406920.496,335,23.21,1476.034,268,2690,418.352
1777642406950.570,336,24.88,1475.740,268,2667,419.043
1777642407070.872,340,20.70,1475.929,268,2702,418.911
1777642407281.415,347,16.74,1476.247,268,2655,418.654
1777642407702.554,361,13.14,1476.202,268,2644,418.588
1777642407822.660,365,11.99,1476.378,268,2655,418.409
1777642407942.679,369,11.02,1476.520,268,2690,418.962
1777642408122.704,375,9.70,1476.744,268,2633,419.054
1777642408572.741,390,7.82,1475.941,268,2678,419.034
1777642408782.795,397,7.08,1476.112,268,2702,419.304
1777642408812.819,398,12.32,1476.781,268,2690,418.490
1777642408993.258,404,10.67,1476.373,268,2678,419.080
1777642409023.333,405,15.53,1475.950,268,2678,419.008
1777642409414.324,418,12.29,1476.377,268,2655,418.778
1777642409504.561,421,11.86,1476.074,268,2678,418.559
1777642409654.960,426,10.59,1475.416,268,2667,418.707
1777642409745.149,429,10.68,1476.416,268,2678,419.805
1777642409865.212,433,10.05,1475.997,268,2644,419.500
1777642409985.221,437,9.61,1476.169,268,2690,418.980
1777642410105.227,441,9.29,1477.125,268,2678,418.783
1777642410225.230,445,8.31,1476.039,268,2690,419.425
1777642410315.231,448,17.25,1476.676,268,2678,419.251
1777642410525.227,455,14.12,1476.142,268,2667,418.655
1777642410765.269,463,11.62,1477.331,268,2690,416.791
1777642410945.555,469,10.14,1476.611,268,2678,418.411
1777642411095.853,474,9.20,1476.358,268,2678,419.164
1777642411186.033,477,10.07,1476.908,268,2690,418.217
1777642411246.154,479,11.42,1475.767,268,2678,419.256
1777642411847.264,499,8.98,1476.571,268,2690,419.227
1777642411877.265,500,14.63,1476.011,268,2702,419.802
1777642411907.265,501,18.94,1476.975,268,2655,419.003
1777642412327.254,515,14.80,1477.092,268,2667,418.410
1777642412477.244,520,12.77,1476.738,268,2702,419.027
1777642412627.229,525,11.23,1476.029,268,2678,419.732
1777642412747.217,529,10.54,1476.134,268,2690,419.796
1777642412777.243,530,17.66,1477.449,268,2690,417.946
1777642412807.270,531,20.35,1476.192,268,2702,419.138
1777642413017.386,538,16.18,1477.111,268,2633,419.278
1777642413167.462,543,14.86,1476.247,268,2678,419.887
1777642413197.477,544,12.19,1477.481,268,2690,419.160
1777642413437.598,552,18.03,1477.303,268,2690,418.522
1777642413617.690,558,14.90,1477.817,268,2690,418.049
1777642413647.705,559,20.39,1476.997,268,2702,418.742
1777642414115.338,570,16.06,1476.140,268,2678,420.588
1777642414465.558,576,13.42,1476.330,268,2667,419.459
1777642415001.513,585,10.98,1476.360,268,2702,419.307
1777642416368.345,610,8.57,1477.982,268,3063,418.214
1777642416649.103,615,8.11,1477.175,268,2690,418.649
1777642416762.360,617,10.23,1477.264,268,2678,418.710
1777642417163.053,624,8.86,1476.586,268,2655,418.816
1777642417686.824,635,7.39,1476.756,268,2678,419.149
1777642417946.898,640,7.24,1475.382,268,2678,420.295
1777642418157.035,644,7.38,1476.757,268,2878,419.787
1777642418262.796,646,10.98,1476.512,268,3291,419.952
1777642418422.303,649,9.55,1476.589,268,2667,418.690
1777642418636.595,653,15.50,1476.213,268,2678,419.414
1777642418744.433,655,16.55,1477.305,268,2678,418.389
1777642419161.223,663,13.45,1477.256,268,2678,418.362
1777642419428.437,669,11.48,1477.092,268,2667,419.184
1777642419477.399,670,16.03,1477.498,268,2690,419.002
1777642419773.156,676,13.06,1476.798,268,2714,418.423
1777642420022.218,681,12.59,1477.185,268,2667,418.013
1777642420374.874,688,10.63,1476.636,268,2678,418.649
1777642420680.834,694,9.36,1477.299,268,2690,419.296
1777642420731.834,695,14.46,1476.552,268,2678,419.867
1777642420882.131,699,13.10,1476.840,268,2678,418.622
1777642420927.930,700,18.24,1476.544,268,2690,419.197
1777642420973.807,701,21.74,1477.105,268,2678,418.755
1777642421158.047,705,18.29,1476.666,269,2667,418.979
1777642421670.755,716,14.47,1477.110,268,2655,419.039
1777642422001.644,723,12.01,1477.368,268,2667,418.328
1777642422144.553,726,11.91,1477.137,268,2678,418.617
1777642422576.407,736,9.78,1477.555,268,2678,418.081
1777642422923.893,744,8.39,1476.139,268,2667,419.850
1777642422967.565,745,14.18,1476.150,268,2714,420.515
1777642423186.708,750,12.25,1476.289,268,2655,418.318
1777642423318.823,753,11.70,1477.413,268,2678,418.771
1777642423407.161,755,12.38,1476.633,268,2690,419.242
1777642423628.925,760,10.29,1476.938,268,2678,419.504
1777642424281.691,776,8.41,1477.126,268,2690,419.236
1777642424363.091,778,10.34,1476.534,268,2644,419.443
1777642424567.141,783,9.35,1477.002,268,2678,419.049
1777642424936.418,792,7.96,1477.494,268,3326,418.977
1777642425370.550,803,6.72,1477.012,268,2690,419.160
1777642425408.271,804,18.34,1476.706,268,2678,419.639
1777642425559.260,808,15.76,1477.314,268,2667,418.886
1777642425786.062,814,13.24,1476.320,268,2667,419.587
1777642425823.899,815,16.64,1476.603,268,2678,418.889
1777642425861.747,816,23.03,1476.887,268,2678,418.997
1777642425937.475,818,20.98,1477.103,268,2667,419.729
1777642425975.355,819,24.69,1476.662,268,2690,419.759
1777642426240.812,826,19.72,1476.879,268,2667,419.539
1777642426278.776,827,23.19,1477.431,268,3003,418.752
1777642426316.752,828,26.89,1476.929,268,2678,419.452
1777642426354.787,829,28.51,1476.703,268,2678,418.883
1777642426580.038,835,22.77,1476.996,268,2644,419.226
1777642426615.010,836,23.83,1476.948,268,2702,419.373
1777642426684.921,838,22.48,1477.121,268,2655,419.062
1777642427033.844,848,17.68,1476.826,268,2714,419.169
1777642427312.223,856,14.33,1477.693,268,3222,418.784
1777642427520.688,862,12.10,1476.915,268,2678,420.244
1777642427938.922,874,9.75,1477.676,268,2690,418.589
1777642428576.442,894,7.74,1476.987,268,2714,419.136
1777642428607.990,895,13.22,1477.822,268,2690,417.598
1777642428946.009,905,10.74,1476.404,269,2655,419.464
1777642429063.827,909,10.20,1477.894,268,2678,418.798
1777642429209.917,914,9.33,1477.219,268,2690,419.330
1777642429555.170,926,7.69,1476.747,268,2714,419.782
1777642429882.091,937,6.51,1476.627,268,2678,418.885
1777642430095.739,945,5.93,1477.105,268,2655,418.979
1777642430356.208,955,5.27,1477.552,268,2690,419.965
1777642430458.345,959,6.11,1477.426,268,2678,418.475
1777642430483.696,960,12.02,1476.511,268,2678,420.419
1777642430832.014,972,9.70,1477.502,268,2667,418.791
1777642430952.095,977,8.97,1477.541,268,2667,418.703
1777642431320.460,993,7.24,1476.797,268,2655,419.158
1777642431387.164,996,8.72,1477.702,268,2678,418.875
1777642431423.325,997,13.84,1476.787,268,2667,419.235
1777642431649.698,1006,11.30,1476.787,268,2690,419.490
1777642431777.238,1012,9.47,1477.069,268,2667,419.751
1777642431839.450,1015,18.06,1477.524,268,2678,419.370
1777642431880.348,1017,17.84,1476.830,268,15468,425.368
1777642432039.328,1025,14.44,1476.530,268,2975,420.632
1777642432058.682,1026,18.70,1476.570,268,2702,419.115
1777642432332.820,1037,14.79,1477.518,268,2702,419.034
1777642432409.304,1041,13.11,1477.714,268,3344,419.315
1777642432483.603,1045,11.99,1477.515,268,2690,418.998
1777642432501.836,1046,15.43,1477.073,268,2655,419.523
1777642432659.788,1055,12.52,1476.764,268,2667,419.912
1777642432726.437,1059,11.46,1476.859,268,2678,420.315
1777642432758.942,1061,12.76,1476.650,268,2702,419.576
1777642432920.828,1067,10.95,1477.030,268,2678,419.729
1777642433165.503,1082,8.77,1477.589,268,2690,418.867
1777642433210.180,1085,9.55,1476.854,268,2667,419.331
1777642433224.758,1086,13.98,1476.844,268,2690,419.008
1777642433322.384,1093,11.68,1477.551,268,2678,419.034
1777642433555.242,1103,9.58,1476.815,268,2678,419.928
1777642433645.303,1106,10.23,1476.680,268,2678,420.184
1777642433915.487,1115,8.58,1477.305,268,2690,418.956
1777642434305.752,1128,7.08,1476.999,268,2678,420.149
1777642434395.816,1131,7.88,1476.942,268,2678,419.514
1777642434846.066,1146,6.47,1477.092,268,2655,419.637
1777642434876.082,1147,13.28,1477.671,268,2690,418.888
1777642435116.203,1155,10.99,1476.965,268,2678,419.469
1777642435386.343,1164,9.15,1477.418,268,2667,418.559
1777642435416.364,1165,15.09,1477.321,268,2678,418.812
1777642435806.671,1178,11.97,1477.412,268,3078,419.261
1777642435836.695,1179,16.56,1476.263,268,2714,420.492
1777642436317.089,1195,12.94,1477.769,268,2655,418.584
1777642436407.157,1198,12.50,1477.336,268,2667,418.723
1777642436527.240,1202,11.19,1476.889,268,3048,419.745
1777642436557.260,1203,12.43,1477.196,268,2702,419.826
1777642436677.339,1207,12.92,1476.888,268,2714,419.764
1777642436797.417,1211,10.71,1476.674,268,2690,420.232
1777642437007.554,1218,10.75,1476.638,268,2667,419.354
1777642437097.612,1221,10.02,1477.953,268,2655,418.385
1777642437157.651,1223,20.36,1477.374,268,2702,419.142
1777642437217.689,1225,19.65,1476.346,268,2678,419.299
1777642437307.747,1228,17.54,1477.388,268,2690,419.054
1777642437337.766,1229,20.76,1478.026,268,2667,418.395
1777642437607.939,1238,16.49,1477.397,268,2655,419.454
1777642437758.026,1243,13.92,1477.476,268,2667,419.018
1777642437878.095,1247,12.69,1478.138,268,2702,418.811
1777642438208.282,1258,10.29,1477.769,268,2678,418.972
1777642438298.333,1261,10.45,1477.320,268,2667,418.956
1777642438418.407,1265,9.95,1477.883,268,2655,418.892
1777642438478.449,1267,11.57,1477.552,268,2690,419.730
1777642438538.468,1269,12.74,1476.809,268,2678,418.641
1777642438568.477,1270,15.83,1477.357,268,2667,418.555
1777642438598.486,1271,24.33,1477.771,268,2667,418.884
1777642438688.513,1274,20.97,1476.510,268,2690,419.776
1777642438898.573,1281,16.90,1478.042,268,2678,418.525
1777642439018.604,1285,13.73,1477.477,268,2678,419.815
1777642439378.691,1297,11.34,1477.767,268,2667,419.088
1777642439558.828,1303,9.80,1478.276,268,2678,418.491
1777642439769.014,1310,8.60,1477.694,268,2702,419.073
1777642439829.068,1312,11.06,1476.971,268,2702,419.474
1777642439919.148,1315,10.93,1476.595,268,2678,419.668
1777642440009.229,1318,11.12,1477.343,268,2678,419.705
1777642440039.255,1319,15.08,1477.439,268,2690,419.256
1777642440069.282,1320,12.66,1477.351,268,2667,419.214
1777642440249.445,1326,24.47,1477.998,268,2678,417.993
1777642440279.472,1327,25.48,1477.994,268,2690,418.755
1777642440669.876,1340,19.75,1476.646,268,2678,419.879
1777642440850.109,1346,16.20,1477.380,268,3344,420.361
1777642441060.386,1353,13.29,1477.361,268,2702,419.135
1777642441240.631,1359,11.42,1477.835,268,2678,418.900
1777642441480.885,1367,9.64,1477.860,268,2667,419.646
1777642441510.893,1368,15.56,1476.611,268,2667,419.542
1777642441570.908,1370,15.80,1476.799,268,2655,420.156
1777642441660.931,1373,14.26,1477.520,268,2690,419.650
1777642441900.987,1381,11.77,1478.244,268,2678,418.991
1777642442021.013,1385,10.90,1477.376,268,2678,420.159
1777642442291.067,1394,9.12,1477.667,268,2702,419.299
