timestamp,frame_id,fps,depth_mean,depth_min,depth_max,depth_std
1777631994069.227,7,30.00,1369.106,245,3867,377.208
1777631994133.766,9,27.12,1370.045,245,7279,386.269
1777631994229.261,12,21.24,1368.544,245,3867,376.797
1777631994664.149,26,16.96,1369.759,245,6725,385.729
1777631994877.565,33,13.92,1368.956,245,3819,379.045
1777631994907.969,34,11.33,1369.248,245,3867,376.448
1777631995330.765,48,9.88,1369.259,245,3843,379.108
1777631995598.537,57,8.32,1369.751,245,3843,377.075
1777631995628.046,58,14.10,1369.677,245,3819,377.838
1777631995686.919,60,14.71,1369.412,245,3819,376.534
1777631995716.282,61,19.24,1370.064,245,3819,377.168
1777631995745.597,62,20.99,1369.786,245,3843,377.322
1777631995774.863,63,25.15,1369.148,245,3819,377.644
1777631995833.250,65,23.07,1369.215,245,3843,377.059
1777631996007.241,71,18.67,1369.827,245,3843,377.767
1777631996036.112,72,21.62,1369.100,245,3867,377.109
1777631996189.138,77,17.86,1369.576,245,3843,376.757
1777631996280.833,80,16.21,1369.808,245,3819,377.435
1777631996494.720,87,13.32,1370.430,245,7031,380.170
1777631996555.813,89,14.19,1369.752,245,3819,377.842
1777631996677.977,93,12.67,1369.614,245,3819,376.927
1777631996769.579,96,12.12,1369.464,245,3843,377.491
1777631996983.251,103,10.27,1369.926,245,3843,376.679
1777631997258.169,112,8.60,1370.083,245,6952,380.893
1777631997685.197,126,7.04,1371.429,245,7454,385.115
